key,en_US,ja,es,en_GB,pl,ru,lv,eo
I18N_LOCALE_NAME,English (United States),日本語,español latino,English (United Kingdom),Polska,русский,Latviešu,Esperanto
I18N_MENU,Menu,メニュー,Menú,,,Меню,Izvēnle,
I18N_GAME_NAME,MalBots Begone!,マルボッツを退治せよ!,"¡MalBots, Fuera!",,"ZłośBoty, Precz!","ВредБоты, Прочь!","ĻaunBoti, Projām!","FiBotoj, For!"
I18N_DEMO,Public Beta,公開ベータ,,,,,,
I18N_START,[b]Tap the screen[/b] or [b]press A[/b] to start!,[b]スクリーンをタップ[/b]するか、[b]Aボタンを押す[/b]と、始まるよ！,[b]Toca la pantalla[/b] o [b]pulsa A[/b] para empezar!,,,[b]Нажмите по экрану[/b] или [b]нажмите A[/b] чтобы начать!,"[b]Pieskarieties ekrānam[/b] vai [b]nospiediet A[/b], lai sāktu!",[b]Tuŝu la ekranon[/b] aŭ [b]premu A[/b] por komencigi!
I18N_STORY,Story mode,ストーリーモード,Modo de campaña,,,Исторический режим,Stāstu režīms,Aventura reĝimo
I18N_ARCADE,Arcade mode,アーケードモード,Modo arcade,,,Аркадный режим,Arkādes režīms,Videoludeja reĝimo
I18N_TUTORIAL,Tutorial,チュートリアル,,,,Туториал,Pamācība,
I18N_EDITOR,Level editor,レベルエディター,Editor de niveles,,,Редактор уровней,Līmeņa redaktors,Nivelredaktilo
I18N_READY_ASK,Ready?,準備OK?,¿Listo?,,Gotowy?,Готовы?,Gatavs?,Preta?
I18N_READY_YES,OK!,よし！,¡Sí!,,,ДА!,,Jes!
I18N_LEVEL_N,LEVEL %03d,レベル%03d,NIVEL %03d,,,УРОВЕНЬ %03d,,NIVELO %03d
I18N_NEXT,NEXT,つぎ,SIG.,,,ДАЛЕЕ,TĀLĀK,SEKVA
I18N_REST,REST,のこり,QUEDA,,,ШАГОВ,,CETERA
I18N_SCORE,SCORE,とくてん,PUNTAJE,,,СЧЁТ,REZULTĀTS,POENTARO
I18N_TIME,TIME,じかん,TIEMPO,,,ВРЕМЯ,LAIKS,TEMPO
I18N_CHAIN_BEFORE,N/A,N/A,¡CASCADA DE,,,N/A,,N/A
I18N_CHAIN_AFTER,CASCADE!,連鎖!,!,,,КАСКАД!,,-STRIO!
I18N_CLEAR,STAGE CLEARED!,ステージ\nクリア！,¡NIVEL SUPERADO!,,,ЭТАП ОЧИЩЕН!,,FAZO TRAPASITA!
I18N_FAIL,GAME OVER,ゲーム\nオーバー,JUEGO TERMINADO,,PRZEGRANA,ИГРА ОКОНЧЕНА,SPĒLE BEIGUSIES,LUDO FINITA
I18N_ALLCLEAR,WIPEOUT!,全消し！,¡TABLERO VACÍO!,,,СТЁРТО!,,
I18N_BONUS,BONUS!,ボーナス！,¡BONIFICACIÓN!,,,БОНУС!,BONUSS!,BONIFIKO!
I18N_OBJECTIVE,Mission: “%s”,ミッション【%s】,Misión: «%s»,,,Миссия: “%s”,Missija: “%s”,Misio: «%s»
I18N_COLOR_0,gray,灰色の,grises,grey,,серых,pelēkos,grizajn
I18N_COLOR_1,red,赤い,rojos,,,красных,sarkanos,ruĝajn
I18N_COLOR_2,yellow,黄色い,amarillos,,,жёлтых,dzeltenos,flavajn
I18N_COLOR_3,green,緑色の,verdes,,,зелёных,zaļos,verdajn
I18N_COLOR_4,blue,青い,azules,,,синих,zilos,bluajn
I18N_COLOR_5,purple,紫の,morados,,,фиолетовых,violetos,violkolorajn
I18N_COLOR_SEP,", ",と,", ",,,", ",", ",", "
I18N_COLOR_SEP_TWO, and ,と, y ,,, и , un , kaj 
I18N_COLOR_SEP_LAST,", and ",と, y ,,,", и ",", un ",", kaj "
I18N_TIME_FORMAT,"%02d'%02d""",%02d分%02d秒,,,,%02dм %02dс,%02dm %02ds,
I18N_OBJECTIVE_ZEN,[b]Chill![/b],[b]無し！[/b],,,,[b]Расслабляйтесь![/b],,[b]Ripozu![/b]
I18N_OBJECTIVE_SURVIVE,[b]Survive![/b],[b]生き延びろ！[/b],[b]¡Sobrevive![/b],,,[b]Выживайте![/b],,[b]Transvivu![/b]
I18N_OBJECTIVE_SURVIVE_TIME,Survive for [b]{0}[/b]!,[b]{0}間[/b]生き延びろ！,¡Sobrevive por [b]{0}[/b]!,,,Выживите [b]{0}[/b]!,,Transvivu dum [b]{0}[/b]!
I18N_OBJECTIVE_ENEMY,Defeat [b]all MalBots[/b]!,[b]マルボッツを全滅[/b]させろ！,¡Derrota a [b]todos los MalBots[/b]!,,,Одолейте [b]всех ВредБотов[/b]!,,Venku [b]ĉiujn FiBotojn[/b]!
I18N_OBJECTIVE_ENEMY_COUNT,Defeat [b]{0} MalBots[/b]!,[b]マルボッツを{0}体[/b]倒せ！,¡Derrota a [b]{0} MalBots[/b]!,,,Одолейте [b]{0} ВредБотов[/b]!,,Venku [b]{0} FiBotojn[/b]!
I18N_OBJECTIVE_ENEMY_COLOR,Defeat [b]all {0} MalBots[/b]!,[b]{0}マルボッツを全滅[/b]させろ！,¡Derrota a [b]todos los MalBots {0}[/b]!,,,Одолейте [b]всех {0} ВредБотов[/b]!,,Venku [b]ĉiujn {0} FiBotojn[/b]!
I18N_OBJECTIVE_ENEMY_COLOR_COUNT,Defeat [b]{0} {1} MalBots[/b]!,[b]{1}マルボッツを{0}体[/b]倒せ！,¡Derrota a [b]{0} MalBots {1}[/b]!,,,Одолейте [b]{0} {1} ВредБотов[/b]!,,Venku [b]{0} {1} FiBotojn[/b]!
I18N_OBJECTIVE_BLOCK,Erase [b]all Blocks[/b]!,[b]ブロックを全部[/b]消せ！,¡Borra [b]todos los bloques[/b]!,,,Сотрите [b]все блоки[/b]!,,Forigu [b]ĉiujn Blokojn[/b]!
I18N_OBJECTIVE_BLOCK_COUNT,Erase [b]{0} Blocks[/b]!,[b]ブロックを{0}個[/b]消せ！,¡Borra [b]{0} bloques[/b]!,,,Сотрите [b]{0} блоки[/b]!,,Forigu [b]{0} Blokojn[/b]!
I18N_OBJECTIVE_BLOCK_COLOR,Erase [b]all {0} Blocks[/b]!,[b]{0}ブロックを全部[/b]消せ！,¡Borra [b]todos los bloques {0}[/b]!,,,Сотрите [b]все {0} блоки[/b]!,,Forigu [b]ĉiujn {0} Blokojn[/b]!
I18N_OBJECTIVE_BLOCK_COLOR_COUNT,Erase [b]{0} {1} Blocks[/b]!,[b]{1}ブロックを{0}個[/b]消せ！,¡Borra [b]{0} bloques {1}[/b]!,,,Сотрите [b]{0} {1} блоки[/b]!,,Forigu [b]{0} {1} Blokojn[/b]!
I18N_OBJECTIVE_CHAIN_COUNT,Cause a [b]{0}-Cascade[/b] or longer!,[b]{0}連鎖[/b]以上を起こせ！,,,,Сделайте [b]{0}-КАСКАД[/b] или больше!,,Kaŭzu [b]{0}-Strion[/b] aŭ pli longan!
I18N_OBJECTIVE_CHAIN_EXACT,Cause [b]exactly a {0}-Cascade[/b]!,[b]ちょうど{0}連鎖[/b]を起こせ！,,,,Сделайте [b]только {0}-КАСКАД[/b]!,,Kaŭzu [b]precize {0}-Strion[/b]!
I18N_OBJECTIVE_HIGH_SCORE,[b]Score[/b] {0} points or more!,{0}点以上[b]得点[/b]しろ！,¡Consigue [b]{0} puntos[/b] o más!,,,[b]Наберите[/b] {0} очков или больше!,,[b]Atingu[/b] {0} poentojn aŭ pli!
